matchId,slug,playerid,runs,balls,minutes,fours,sixes,strikerate,isOut
1359475,tushar-deshpande,822553,,,,,,,False
1359475,devon-conway,379140,1,6,,0,0,16.66,True
1359475,ruturaj-gaikwad,1060380,92,50,,4,9,184,True
1359475,moeen-ali,8917,23,17,,4,1,135.29,True
1359475,ben-stokes,311158,7,6,,1,0,116.66,True
1359475,ambati-rayudu,33141,12,12,,0,1,100,True
1359475,shivam-dube,714451,19,18,,0,1,105.55,True
1359475,ravindra-jadeja,234675,1,2,,0,0,50,True
1359475,ms-dhoni,28081,14,7,,1,1,200,False
1359475,mitchell-santner,502714,1,3,,0,0,33.33,False
1359475,deepak-chahar,447261,,,,,,,False
1359475,kane-williamson,277906,,,,,,,False
1359475,wriddhiman-saha,279810,25,16,,2,2,156.25,True
1359475,shubman-gill,1070173,63,36,,6,3,175,True
1359475,sai-sudharsan,1151288,22,17,,3,0,129.41,True
1359475,hardik-pandya,625371,8,11,,0,0,72.72,True
1359475,vijay-shankar,477021,27,21,,2,1,128.57,True
1359475,rahul-tewatia,423838,15,14,,1,1,107.14,False
1359475,rashid-khan,793463,10,3,,1,1,333.33,False
1359475,mohammed-shami,481896,,,,,,,False
1359475,josh-little,928067,,,,,,,False
1359475,yash-dayal,1159720,,,,,,,False
1359476,rishi-dhawan,290727,,,,,,,False
1359476,prabhsimran-singh,1161024,23,12,10,2,2,191.66,True
1359476,shikhar-dhawan,28235,40,29,75,6,0,137.93,True
1359476,bhanuka-rajapaksa,342619,50,32,47,5,2,156.25,True
1359476,jitesh-sharma,721867,21,11,13,1,2,190.9,True
1359476,sikandar-raza,299572,16,13,22,1,1,123.07,True
1359476,sam-curran,662973,26,17,27,0,2,152.94,False
1359476,m-shahrukh-khan,719719,11,7,11,2,0,157.14,False
1359476,harpreet-brar,1168641,,,,,,,False
1359476,rahul-chahar,1064812,,,,,,,False
1359476,arshdeep-singh,1125976,,,,,,,False
1359476,varun-chakravarthy,1108375,,,,,,,False
1359476,mandeep-singh,398506,2,4,7,0,0,50,True
1359476,rahmanullah-gurbaz,974087,22,16,26,3,1,137.5,True
1359476,anukul-roy,1079839,4,5,5,1,0,80,True
1359476,venkatesh-iyer,851403,34,28,66,3,1,121.42,True
1359476,nitish-rana,604527,24,17,23,3,1,141.17,True
1359476,rinku-singh,723105,4,4,5,0,0,100,True
1359476,andre-russell,276298,35,19,24,3,2,184.21,True
1359476,shardul-thakur,475281,8,3,8,0,1,266.66,False
1359476,sunil-narine,230558,7,2,4,0,1,350,False
1359476,tim-southee,232364,,,,,,,False
1359477,kl-rahul,422108,8,12,21,0,1,66.66,True
1359477,kyle-mayers,348056,73,38,53,2,7,192.1,True
1359477,deepak-hooda,497121,17,18,31,0,0,94.44,True
1359477,krunal-pandya,471342,15,13,51,0,1,115.38,False
1359477,marcus-stoinis,325012,12,10,13,0,1,120,True
1359477,nicholas-pooran,604302,36,21,24,2,3,171.42,True
1359477,ayush-badoni,1151270,18,7,10,1,2,257.14,True
1359477,krishnappa-gowtham,424377,6,1,2,0,1,600,False
1359477,avesh-khan,694211,,,,,,,False
1359477,ravi-bishnoi,1175441,,,,,,,False
1359477,jaydev-unadkat,390484,,,,,,,False
1359477,khaleel-ahmed,942645,,,,,,,False
1359477,prithvi-shaw,1070168,12,9,24,2,0,133.33,True
1359477,david-warner,219889,56,48,87,7,0,116.66,True
1359477,mitchell-marsh,272450,0,1,2,0,0,0,True
1359477,sarfaraz-khan,642525,4,9,16,1,0,44.44,True
1359477,rilee-rossouw,318845,30,20,24,3,1,150,True
1359477,rovman-powell,820351,1,3,11,0,0,33.33,True
1359477,aman-hakim-khan,1254269,4,5,11,0,0,80,True
1359477,axar-patel,554691,16,11,21,1,1,145.45,True
1359477,kuldeep-yadav,559235,6,10,22,0,0,60,False
1359477,chetan-sakariya,1131754,4,4,5,1,0,100,True
1359478,navdeep-saini,700167,,,,,,,False
1359478,yashasvi-jaiswal,1151278,54,37,63,9,0,145.94,True
1359478,jos-buttler,308967,54,22,32,7,3,245.45,True
1359478,sanju-samson,425943,55,32,66,3,4,171.87,True
1359478,devdutt-padikkal,1119026,2,5,10,0,0,40,True
1359478,riyan-parag,1079434,7,6,12,1,0,116.66,True
1359478,shimron-hetmyer,670025,22,16,21,1,1,137.5,False
1359478,ravichandran-ashwin,26421,1,2,9,0,0,50,False
1359478,jason-holder,391485,,,,,,,False
1359478,trent-boult,277912,,,,,,,False
1359478,km-asif,1083030,,,,,,,False
1359478,fazalhaq-farooqi,974175,,,,,,,False
1359478,abhishek-sharma,1070183,0,3,3,0,0,0,True
1359478,mayank-agarwal,398438,27,23,56,3,0,117.39,True
1359478,rahul-tripathi,446763,0,2,6,0,0,0,True
1359478,harry-brook,911707,13,21,28,1,0,61.9,True
1359478,washington-sundar,719715,1,5,10,0,0,20,True
1359478,glenn-phillips,823509,8,6,6,0,1,133.33,True
1359478,abdul-samad,1175485,32,32,51,2,1,100,False
1359478,adil-rashid,244497,18,13,17,1,1,138.46,True
1359478,bhuvneshwar-kumar,326016,6,10,20,0,0,60,True
1359478,umran-malik,1246528,19,8,12,1,2,237.5,False
1359479,jason-behrendorff,272477,,,,,,,False
1359479,rohit-sharma,34102,1,10,30,0,0,10,True
1359479,ishan-kishan,720471,10,13,13,2,0,76.92,True
1359479,cameron-green,1076713,5,4,6,1,0,125,True
1359479,suryakumar-yadav,446507,15,16,35,1,0,93.75,True
1359479,tilak-varma,1170265,84,46,85,9,4,182.6,False
1359479,nehal-wadhera,1151273,21,13,25,1,2,161.53,True
1359479,tim-david,892749,4,7,11,0,0,57.14,True
1359479,hrithik-shokeen,1175423,5,3,12,1,0,166.66,True
1359479,arshad-khan,1244751,15,9,19,0,1,166.66,False
1359479,piyush-chawla,32966,,,,,,,False
1359479,virat-kohli,253802,82,49,75,6,5,167.34,False
1359479,faf-du-plessis,44828,73,43,66,5,6,169.76,True
1359479,dinesh-karthik,30045,0,3,6,0,0,0,True
1359479,glenn-maxwell,325026,12,3,5,0,2,400,False
1359479,michael-bracewell,326968,,,,,,,False
1359479,shahbaz-ahmed,1159711,,,,,,,False
1359479,harshal-patel,390481,,,,,,,False
1359479,akash-deep,1176959,,,,,,,False
1359479,reece-topley,461632,,,,,,,False
1359479,mohammed-siraj,940973,,,,,,,False
1359479,karn-sharma,30288,,,,,,,False
1359480,tushar-deshpande,822553,,,,,,,False
1359480,ruturaj-gaikwad,1060380,57,31,55,3,4,183.87,True
1359480,devon-conway,379140,47,29,62,5,2,162.06,True
1359480,shivam-dube,714451,27,16,22,1,3,168.75,True
1359480,moeen-ali,8917,19,13,25,3,0,146.15,True
1359480,ben-stokes,311158,8,8,16,1,0,100,True
1359480,ambati-rayudu,33141,27,14,26,2,2,192.85,False
1359480,ravindra-jadeja,234675,3,6,13,0,0,50,True
1359480,ms-dhoni,28081,12,3,6,0,2,400,True
1359480,mitchell-santner,502714,1,1,2,0,0,100,False
1359480,deepak-chahar,447261,,,,,,,False
1359480,avesh-khan,694211,,,,,,,False
1359480,kl-rahul,422108,20,18,42,2,0,111.11,True
1359480,kyle-mayers,348056,53,22,35,8,2,240.9,True
1359480,deepak-hooda,497121,2,6,6,0,0,33.33,True
1359480,krunal-pandya,471342,9,9,14,0,1,100,True
1359480,marcus-stoinis,325012,21,18,26,0,1,116.66,True
1359480,nicholas-pooran,604302,32,18,28,2,3,177.77,True
1359480,ayush-badoni,1151270,23,18,38,0,0,127.77,True
1359480,krishnappa-gowtham,424377,17,11,26,0,1,154.54,False
1359480,mark-wood,351588,10,3,2,1,1,333.33,False
1359480,yash-thakur,1070196,,,,,,,False
1359481,khaleel-ahmed,942645,,,,,,,False
1359481,david-warner,219889,37,32,48,7,0,115.62,True
1359481,prithvi-shaw,1070168,7,5,17,1,0,140,True
1359481,mitchell-marsh,272450,4,4,10,1,0,100,True
1359481,sarfaraz-khan,642525,30,34,66,2,0,88.23,True
1359481,rilee-rossouw,318845,0,1,4,0,0,0,True
1359481,abishek-porel,1277545,20,11,25,0,2,181.81,True
1359481,axar-patel,554691,36,22,33,2,3,163.63,True
1359481,aman-hakim-khan,1254269,8,8,10,0,1,100,True
1359481,kuldeep-yadav,559235,1,1,7,0,0,100,False
1359481,anrich-nortje,481979,4,2,1,1,0,200,False
1359481,josh-little,928067,,,,,,,False
1359481,wriddhiman-saha,279810,14,7,9,2,1,200,True
1359481,shubman-gill,1070173,14,13,19,3,0,107.69,True
1359481,sai-sudharsan,1151288,62,48,92,4,2,129.16,False
1359481,hardik-pandya,625371,5,4,12,1,0,125,True
1359481,vijay-shankar,477021,29,23,40,3,0,126.08,True
1359481,david-miller,321777,31,16,28,2,2,193.75,False
1359481,rahul-tewatia,423838,,,,,,,False
1359481,rashid-khan,793463,,,,,,,False
1359481,alzarri-joseph,670031,,,,,,,False
1359481,yash-dayal,1159720,,,,,,,False
1359482,rishi-dhawan,290727,,,,,,,False
1359482,prabhsimran-singh,1161024,60,34,49,7,3,176.47,True
1359482,shikhar-dhawan,28235,86,56,113,9,3,153.57,False
1359482,bhanuka-rajapaksa,342619,1,1,3,0,0,100,False
1359482,jitesh-sharma,721867,27,16,31,2,1,168.75,True
1359482,sikandar-raza,299572,1,2,2,0,0,50,True
1359482,m-shahrukh-khan,719719,11,10,23,1,0,110,True
1359482,sam-curran,662973,1,2,3,0,0,50,False
1359482,harpreet-brar,1168641,,,,,,,False
1359482,nathan-ellis,826915,,,,,,,False
1359482,rahul-chahar,1064812,,,,,,,False
1359482,yuzvendra-chahal,430246,,,,,,,False
1359482,yashasvi-jaiswal,1151278,11,8,12,1,1,137.5,True
1359482,ravichandran-ashwin,26421,0,4,23,0,0,0,True
1359482,jos-buttler,308967,19,11,24,1,1,172.72,True
1359482,sanju-samson,425943,42,25,39,5,1,168,True
1359482,devdutt-padikkal,1119026,21,26,47,1,0,80.76,True
1359482,riyan-parag,1079434,20,12,16,1,2,166.66,True
1359482,shimron-hetmyer,670025,36,18,35,1,3,200,True
1359482,dhruv-jurel,1175488,32,15,32,3,2,213.33,False
1359482,jason-holder,391485,1,1,4,0,0,100,False
1359482,trent-boult,277912,,,,,,,False
1359483,suyash-sharma,1350792,,,,,,,False
1359483,rahmanullah-gurbaz,974087,57,44,58,6,3,129.54,True
1359483,venkatesh-iyer,851403,3,7,18,0,0,42.85,True
1359483,mandeep-singh,398506,0,1,2,0,0,0,True
1359483,nitish-rana,604527,1,5,17,0,0,20,True
1359483,rinku-singh,723105,46,33,64,2,3,139.39,True
1359483,andre-russell,276298,0,1,2,0,0,0,True
1359483,shardul-thakur,475281,68,29,45,9,3,234.48,True
1359483,sunil-narine,230558,0,1,6,0,0,0,False
1359483,umesh-yadav,376116,6,2,2,1,0,300,False
1359483,tim-southee,232364,,,,,,,False
1359483,mohammed-siraj,940973,,,,,,,False
1359483,virat-kohli,253802,21,18,20,3,0,116.66,True
1359483,faf-du-plessis,44828,23,12,24,2,2,191.66,True
1359483,michael-bracewell,326968,19,18,33,1,1,105.55,True
1359483,glenn-maxwell,325026,5,7,9,1,0,71.42,True
1359483,harshal-patel,390481,0,2,3,0,0,0,True
1359483,shahbaz-ahmed,1159711,1,5,6,0,0,20,True
1359483,dinesh-karthik,30045,9,8,23,1,0,112.5,True
1359483,anuj-rawat,1123073,1,5,5,0,0,20,True
1359483,david-willey,308251,20,20,28,2,0,100,False
1359483,karn-sharma,30288,1,3,11,0,0,33.33,True
1359484,fazalhaq-farooqi,974175,,,,,,,False
1359484,anmolpreet-singh,851261,31,26,38,3,1,119.23,True
1359484,mayank-agarwal,398438,8,7,14,1,0,114.28,True
1359484,rahul-tripathi,446763,34,41,65,4,0,82.92,True
1359484,aiden-markram,600498,0,1,2,0,0,0,True
1359484,harry-brook,911707,3,4,5,0,0,75,True
1359484,washington-sundar,719715,16,28,40,0,0,57.14,True
1359484,abdul-samad,1175485,21,10,11,1,2,210,False
1359484,adil-rashid,244497,4,3,3,1,0,133.33,True
1359484,umran-malik,1246528,0,0,1,0,0,0,True
1359484,bhuvneshwar-kumar,326016,0,0,4,0,0,0,False
1359484,amit-mishra,31107,,,,,,,False
1359484,kyle-mayers,348056,13,14,22,2,0,92.85,True
1359484,kl-rahul,422108,35,31,74,4,0,112.9,True
1359484,deepak-hooda,497121,7,8,10,0,1,87.5,True
1359484,krunal-pandya,471342,34,23,33,4,1,147.82,True
1359484,marcus-stoinis,325012,10,13,22,2,0,76.92,False
1359484,romario-shepherd,677077,0,1,3,0,0,0,True
1359484,nicholas-pooran,604302,11,6,7,1,1,183.33,False
1359484,yash-thakur,1070196,,,,,,,False
1359484,jaydev-unadkat,390484,,,,,,,False
1359484,ravi-bishnoi,1175441,,,,,,,False
1359485,murugan-ashwin,528067,,,,,,,False
1359485,yashasvi-jaiswal,1151278,60,31,47,11,1,193.54,True
1359485,jos-buttler,308967,79,51,94,11,1,154.9,True
1359485,sanju-samson,425943,0,4,7,0,0,0,True
1359485,riyan-parag,1079434,7,11,16,0,0,63.63,True
1359485,shimron-hetmyer,670025,39,21,32,1,4,185.71,False
1359485,dhruv-jurel,1175488,8,3,7,0,1,266.66,False
1359485,jason-holder,391485,,,,,,,False
1359485,ravichandran-ashwin,26421,,,,,,,False
1359485,yuzvendra-chahal,430246,,,,,,,False
1359485,trent-boult,277912,,,,,,,False
1359485,khaleel-ahmed,942645,,,,,,,False
1359485,prithvi-shaw,1070168,0,3,4,0,0,0,True
1359485,david-warner,219889,65,55,102,7,0,118.18,True
1359485,manish-pandey,290630,0,1,3,0,0,0,True
