matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359475,mohammed-shami,481896,4,24,0,29,2,7.25,1.2,13,2,2,0,1
1359475,hardik-pandya,625371,3,18,0,28,0,9.33,1.55,6,2,2,0,0
1359475,josh-little,928067,4,24,0,41,1,10.25,1.7,10,4,3,0,0
1359475,rashid-khan,793463,4,24,0,26,2,6.5,1.08,10,2,1,0,0
1359475,alzarri-joseph,670031,4,24,0,33,2,8.25,1.37,8,0,3,0,0
1359475,yash-dayal,1159720,1,6,0,14,0,14,2.33,2,0,2,0,0
1359475,deepak-chahar,447261,4,24,0,29,0,7.25,1.2,9,1,2,0,0
1359475,tushar-deshpande,822553,3.2,20,0,51,1,15.3,2.55,5,4,4,1,1
1359475,rajvardhan-hangargekar,1175429,4,24,0,36,3,9,1.5,10,4,1,3,1
1359475,mitchell-santner,502714,4,24,0,32,0,8,1.33,7,5,0,0,0
1359475,ravindra-jadeja,234675,4,24,0,28,1,7,1.16,9,1,1,0,0
1359476,umesh-yadav,376116,4,24,0,27,1,6.75,1.12,11,2,1,0,0
1359476,tim-southee,232364,4,24,0,54,2,13.5,2.25,7,6,3,0,0
1359476,sunil-narine,230558,4,24,0,40,1,10,1.66,8,3,2,1,0
1359476,varun-chakravarthy,1108375,4,24,0,26,1,6.5,1.08,10,2,1,1,0
1359476,shardul-thakur,475281,4,24,0,43,0,10.75,1.79,7,4,2,0,1
1359476,sam-curran,662973,3,18,0,38,1,12.66,2.11,4,3,3,0,0
1359476,arshdeep-singh,1125976,3,18,0,19,3,6.33,1.05,10,2,1,0,0
1359476,nathan-ellis,826915,3,18,0,27,1,9,1.5,8,2,1,0,2
1359476,sikandar-raza,299572,3,18,0,25,1,8.33,1.38,5,3,0,1,0
1359476,rishi-dhawan,290727,1,6,0,15,0,15,2.5,2,2,1,0,0
1359476,rahul-chahar,1064812,2,12,0,12,1,6,1,5,0,1,0,0
1359476,harpreet-brar,1168641,1,6,0,7,0,7,1.16,3,1,0,0,0
1359477,khaleel-ahmed,942645,4,24,0,30,2,7.5,1.25,15,3,2,1,0
1359477,mukesh-kumar,926851,4,24,0,34,0,8.5,1.41,5,0,2,1,0
1359477,chetan-sakariya,1131754,4,24,0,53,2,13.25,2.2,8,1,6,3,0
1359477,axar-patel,554691,4,24,0,38,1,9.5,1.58,8,1,3,0,0
1359477,kuldeep-yadav,559235,4,24,0,35,1,8.75,1.45,7,0,3,0,0
1359477,kyle-mayers,348056,1,6,0,7,0,7,1.16,3,1,0,1,0
1359477,jaydev-unadkat,390484,3,18,0,39,0,13,2.16,3,5,0,2,0
1359477,krishnappa-gowtham,424377,4,24,0,23,0,5.75,0.95,9,2,0,1,0
1359477,avesh-khan,694211,4,24,0,29,2,7.25,1.2,12,3,1,0,0
1359477,mark-wood,351588,4,24,0,14,5,3.5,0.58,17,1,0,1,1
1359477,ravi-bishnoi,1175441,4,24,0,31,2,7.75,1.29,8,3,1,0,0
1359478,bhuvneshwar-kumar,326016,3,18,0,36,0,12,2,6,4,2,1,0
1359478,fazalhaq-farooqi,974175,4,24,0,41,2,10.25,1.7,11,7,0,0,0
1359478,washington-sundar,719715,3,18,0,32,0,10.66,1.77,5,1,3,0,0
1359478,t-natarajan,802575,3,18,0,23,2,7.66,1.27,7,4,0,0,0
1359478,adil-rashid,244497,4,24,0,33,0,8.25,1.37,6,1,2,0,0
1359478,umran-malik,1246528,3,18,0,32,1,10.66,1.77,4,4,1,1,0
1359478,trent-boult,277912,4,24,1,21,2,5.25,0.87,15,2,1,0,0
1359478,km-asif,1083030,3,18,0,15,0,5,0.83,9,1,0,1,0
1359478,jason-holder,391485,3,18,0,16,1,5.33,0.88,10,1,1,0,0
1359478,ravichandran-ashwin,26421,4,24,0,27,1,6.75,1.12,10,1,1,2,0
1359478,yuzvendra-chahal,430246,4,24,0,17,4,4.25,0.7,11,0,0,0,0
1359478,navdeep-saini,700167,2,12,0,34,0,17,2.83,3,3,2,0,3
1359479,mohammed-siraj,940973,4,24,0,21,1,5.25,0.87,16,2,0,6,0
1359479,reece-topley,461632,2,12,0,14,1,7,1.16,7,3,0,0,0
1359479,akash-deep,1176959,3,18,0,29,1,9.66,1.61,7,2,2,0,0
1359479,harshal-patel,390481,4,24,0,43,1,10.75,1.79,6,3,2,1,1
1359479,karn-sharma,30288,4,24,0,32,2,8,1.33,7,1,2,1,0
1359479,michael-bracewell,326968,2,12,0,16,1,8,1.33,6,3,0,0,0
1359479,glenn-maxwell,325026,1,6,0,16,0,16,2.66,0,1,1,1,0
1359479,jason-behrendorff,272477,3,18,0,37,0,12.33,2.05,6,3,3,0,0
1359479,arshad-khan,1244751,2.2,14,0,28,1,12,2,7,2,2,4,0
1359479,jofra-archer,669855,4,24,0,33,0,8.25,1.37,10,2,2,0,0
1359479,piyush-chawla,32966,4,24,0,26,0,6.5,1.08,11,2,1,0,0
1359479,cameron-green,1076713,2,12,0,30,1,15,2.5,4,2,3,0,0
1359479,hrithik-shokeen,1175423,1,6,0,17,0,17,2.83,0,0,2,0,0
1359480,kyle-mayers,348056,2,12,0,16,0,8,1.33,1,1,0,1,0
1359480,avesh-khan,694211,3,18,0,39,1,13,2.16,4,6,0,1,0
1359480,krunal-pandya,471342,2,12,0,21,0,10.5,1.75,4,1,2,0,0
1359480,krishnappa-gowtham,424377,1,6,0,20,0,20,3.33,2,0,3,0,0
1359480,mark-wood,351588,4,24,0,49,3,12.25,2.04,9,3,5,0,0
1359480,yash-thakur,1070196,4,24,0,36,0,9,1.5,4,3,1,0,1
1359480,ravi-bishnoi,1175441,4,24,0,28,3,7,1.16,13,1,2,1,0
1359480,deepak-chahar,447261,4,24,0,55,0,13.75,2.29,6,7,1,5,0
1359480,ben-stokes,311158,1,6,0,18,0,18,3,0,2,1,0,0
1359480,tushar-deshpande,822553,4,24,0,45,2,11.25,1.87,7,2,2,4,3
1359480,moeen-ali,8917,4,24,0,26,4,6.5,1.08,10,0,1,1,0
1359480,mitchell-santner,502714,4,24,0,21,1,5.25,0.87,9,0,1,0,0
1359480,rajvardhan-hangargekar,1175429,2,12,0,24,0,12,2,4,2,1,3,0
1359480,ravindra-jadeja,234675,1,6,0,14,0,14,2.33,2,0,2,0,0
1359481,mohammed-shami,481896,4,24,0,41,3,10.25,1.7,15,5,1,4,0
1359481,josh-little,928067,4,24,0,27,0,6.75,1.12,11,2,1,0,0
1359481,hardik-pandya,625371,3,18,0,18,0,6,1,6,2,0,0,0
1359481,alzarri-joseph,670031,4,24,0,29,2,7.25,1.2,13,3,1,1,0
1359481,yash-dayal,1159720,1,6,0,12,0,12,2,0,0,1,0,0
1359481,rashid-khan,793463,4,24,0,31,3,7.75,1.29,9,2,2,0,0
1359481,khaleel-ahmed,942645,4,24,0,38,1,9.5,1.58,9,5,1,1,0
1359481,mukesh-kumar,926851,4,24,0,42,0,10.5,1.75,8,5,2,1,0
1359481,anrich-nortje,481979,4,24,0,39,2,9.75,1.62,9,3,2,0,2
1359481,mitchell-marsh,272450,3.1,19,0,24,1,7.57,1.26,4,1,0,1,0
1359481,kuldeep-yadav,559235,3,18,0,18,0,6,1,5,1,0,1,0
1359482,trent-boult,277912,4,24,0,38,0,9.5,1.58,8,3,2,1,0
1359482,km-asif,1083030,4,24,0,54,0,13.5,2.25,7,5,3,3,1
