,matchId,name,result,winnerId,team_1,team1Name,team_2,team2Name,year
0,335982,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match,KKR won by 140 runs,4341.0,335971,Kolkata Knight Riders,335970,Royal Challengers Bangalore,2008
1,335983,kings-xi-punjab-vs-chennai-super-kings-2nd-match,Super Kings won by 33 runs,4343.0,335974,Chennai Super Kings,335973,Kings XI Punjab,2008
2,335984,delhi-daredevils-vs-rajasthan-royals-3rd-match,Daredevils won by 9 wickets (with 29 balls remaining),4344.0,335977,Rajasthan Royals,335975,Delhi Daredevils,2008
3,335985,mumbai-indians-vs-royal-challengers-bangalore-5th-match,RCB won by 5 wickets (with 2 balls remaining),4340.0,335978,Mumbai Indians,335970,Royal Challengers Bangalore,2008
4,335986,kolkata-knight-riders-vs-deccan-chargers-4th-match,KKR won by 5 wickets (with 6 balls remaining),4341.0,335980,Deccan Chargers,335971,Kolkata Knight Riders,2008
5,335987,rajasthan-royals-vs-kings-xi-punjab-6th-match,Royals won by 6 wickets (with 11 balls remaining),4345.0,335973,Kings XI Punjab,335977,Rajasthan Royals,2008
6,335988,deccan-chargers-vs-delhi-daredevils-7th-match,Daredevils won by 9 wickets (with 42 balls remaining),4344.0,335980,Deccan Chargers,335975,Delhi Daredevils,2008
7,335989,chennai-super-kings-vs-mumbai-indians-8th-match,Super Kings won by 6 runs,4343.0,335974,Chennai Super Kings,335978,Mumbai Indians,2008
8,335990,deccan-chargers-vs-rajasthan-royals-9th-match,Royals won by 3 wickets (with 1 ball remaining),4345.0,335980,Deccan Chargers,335977,Rajasthan Royals,2008
9,335991,kings-xi-punjab-vs-mumbai-indians-10th-match,Kings XI won by 66 runs,4342.0,335973,Kings XI Punjab,335978,Mumbai Indians,2008
10,335992,royal-challengers-bangalore-vs-rajasthan-royals-12th-match,Royals won by 7 wickets (with 17 balls remaining),4345.0,335970,Royal Challengers Bangalore,335977,Rajasthan Royals,2008
11,335993,chennai-super-kings-vs-kolkata-knight-riders-11th-match,Super Kings won by 9 wickets (with 18 balls remaining),4343.0,335971,Kolkata Knight Riders,335974,Chennai Super Kings,2008
12,335994,mumbai-indians-vs-deccan-chargers-14th-match,Chargers won by 10 wickets (with 48 balls remaining),4347.0,335978,Mumbai Indians,335980,Deccan Chargers,2008
13,335995,kings-xi-punjab-vs-delhi-daredevils-13th-match,Kings XI won by 4 wickets (with 3 balls remaining),4342.0,335975,Delhi Daredevils,335973,Kings XI Punjab,2008
14,335996,royal-challengers-bangalore-vs-chennai-super-kings-15th-match,Super Kings won by 13 runs,4343.0,335974,Chennai Super Kings,335970,Royal Challengers Bangalore,2008
15,335997,kolkata-knight-riders-vs-mumbai-indians-16th-match,Mumbai won by 7 wickets (with 8 balls remaining),4346.0,335971,Kolkata Knight Riders,335978,Mumbai Indians,2008
16,335998,delhi-daredevils-vs-royal-challengers-bangalore-17th-match,Daredevils won by 10 runs,4344.0,335975,Delhi Daredevils,335970,Royal Challengers Bangalore,2008
17,335999,deccan-chargers-vs-kings-xi-punjab-19th-match,Kings XI won by 7 wickets (with 7 balls remaining),4342.0,335980,Deccan Chargers,335973,Kings XI Punjab,2008
18,336000,rajasthan-royals-vs-kolkata-knight-riders-18th-match,Royals won by 45 runs,4345.0,335977,Rajasthan Royals,335971,Kolkata Knight Riders,2008
19,336001,chennai-super-kings-vs-delhi-daredevils-20th-match,Daredevils won by 8 wickets (with 6 balls remaining),4344.0,335974,Chennai Super Kings,335975,Delhi Daredevils,2008
20,336002,deccan-chargers-vs-royal-challengers-bangalore-51st-match,RCB won by 5 wickets (with 6 balls remaining),4340.0,335980,Deccan Chargers,335970,Royal Challengers Bangalore,2008
21,336003,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match,Kings XI won by 9 runs,4342.0,335973,Kings XI Punjab,335971,Kolkata Knight Riders,2008
22,336004,mumbai-indians-vs-delhi-daredevils-23rd-match,Mumbai won by 29 runs,4346.0,335978,Mumbai Indians,335975,Delhi Daredevils,2008
23,336005,rajasthan-royals-vs-chennai-super-kings-24th-match,Royals won by 8 wickets (with 34 balls remaining),4345.0,335974,Chennai Super Kings,335977,Rajasthan Royals,2008
24,336006,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match,Kings XI won by 6 wickets (with 10 balls remaining),4342.0,335970,Royal Challengers Bangalore,335973,Kings XI Punjab,2008
25,336007,chennai-super-kings-vs-deccan-chargers-26th-match,Chargers won by 7 wickets (with 12 balls remaining),4347.0,335974,Chennai Super Kings,335980,Deccan Chargers,2008
26,336008,mumbai-indians-vs-rajasthan-royals-27th-match,Mumbai won by 7 wickets (with 29 balls remaining),4346.0,335977,Rajasthan Royals,335978,Mumbai Indians,2008
27,336009,delhi-daredevils-vs-chennai-super-kings-28th-match,Super Kings won by 4 wickets (with 0 balls remaining),4343.0,335975,Delhi Daredevils,335974,Chennai Super Kings,2008
28,336010,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match,KKR won by 5 runs,4341.0,335971,Kolkata Knight Riders,335970,Royal Challengers Bangalore,2008
29,336011,rajasthan-royals-vs-deccan-chargers-30th-match,Royals won by 8 wickets (with 24 balls remaining),4345.0,335980,Deccan Chargers,335977,Rajasthan Royals,2008
30,336012,royal-challengers-bangalore-vs-mumbai-indians-55th-match,Mumbai won by 9 wickets (with 12 balls remaining),4346.0,335970,Royal Challengers Bangalore,335978,Mumbai Indians,2008
31,336013,chennai-super-kings-vs-kings-xi-punjab-31st-match,Super Kings won by 18 runs,4343.0,335974,Chennai Super Kings,335973,Kings XI Punjab,2008
32,336014,deccan-chargers-vs-kolkata-knight-riders-32nd-match,KKR won by 23 runs,4341.0,335971,Kolkata Knight Riders,335980,Deccan Chargers,2008
33,336015,rajasthan-royals-vs-delhi-daredevils-33rd-match,Royals won by 3 wickets (with 5 balls remaining),4345.0,335975,Delhi Daredevils,335977,Rajasthan Royals,2008
34,336016,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match,Kings XI won by 9 wickets (with 26 balls remaining),4342.0,335970,Royal Challengers Bangalore,335973,Kings XI Punjab,2008
35,336017,kolkata-knight-riders-vs-delhi-daredevils-35th-match,KKR won by 23 runs,4341.0,335971,Kolkata Knight Riders,335975,Delhi Daredevils,2008
36,336018,mumbai-indians-vs-chennai-super-kings-36th-match,Mumbai won by 9 wickets (with 37 balls remaining),4346.0,335974,Chennai Super Kings,335978,Mumbai Indians,2008
37,336019,kings-xi-punjab-vs-rajasthan-royals-56th-match,Kings XI won by 41 runs,4342.0,335973,Kings XI Punjab,335977,Rajasthan Royals,2008
38,336020,delhi-daredevils-vs-deccan-chargers-37th-match,Daredevils won by 12 runs,4344.0,335975,Delhi Daredevils,335980,Deccan Chargers,2008
39,336021,mumbai-indians-vs-kolkata-knight-riders-38th-match,Mumbai won by 8 wickets (with 87 balls remaining),4346.0,335971,Kolkata Knight Riders,335978,Mumbai Indians,2008
40,336022,delhi-daredevils-vs-kings-xi-punjab-40th-match,Kings XI won by 6 runs (D/L method),4342.0,335975,Delhi Daredevils,335973,Kings XI Punjab,2008
41,336023,rajasthan-royals-vs-royal-challengers-bangalore-39th-match,Royals won by 65 runs,4345.0,335977,Rajasthan Royals,335970,Royal Challengers Bangalore,2008
42,336024,deccan-chargers-vs-mumbai-indians-42nd-match,Mumbai won by 25 runs,4346.0,335978,Mumbai Indians,335980,Deccan Chargers,2008
43,336025,kolkata-knight-riders-vs-chennai-super-kings-41st-match,Super Kings won by 3 runs (D/L method),4343.0,335971,Kolkata Knight Riders,335974,Chennai Super Kings,2008
44,336026,royal-challengers-bangalore-vs-delhi-daredevils-43rd-match,Daredevils won by 5 wickets (with 10 balls remaining),4344.0,335970,Royal Challengers Bangalore,335975,Delhi Daredevils,2008
45,336027,kolkata-knight-riders-vs-rajasthan-royals-44th-match,Royals won by 6 wickets (with 21 balls remaining),4345.0,335971,Kolkata Knight Riders,335977,Rajasthan Royals,2008
46,336028,mumbai-indians-vs-kings-xi-punjab-45th-match,Kings XI won by 1 run,4342.0,335973,Kings XI Punjab,335978,Mumbai Indians,2008
47,336029,chennai-super-kings-vs-royal-challengers-bangalore-46th-match,RCB won by 14 runs,4340.0,335970,Royal Challengers Bangalore,335974,Chennai Super Kings,2008
48,336030,delhi-daredevils-vs-kolkata-knight-riders-47th-match,Match abandoned without a ball bowled,,335975,Delhi Daredevils,335971,Kolkata Knight Riders,2008
49,336031,kings-xi-punjab-vs-deccan-chargers-48th-match,Kings XI won by 6 wickets (with 3 balls remaining),4342.0,335980,Deccan Chargers,335973,Kings XI Punjab,2008
50,336032,delhi-daredevils-vs-mumbai-indians-50th-match,Daredevils won by 5 wickets (with 1 ball remaining),4344.0,335978,Mumbai Indians,335975,Delhi Daredevils,2008
51,336033,chennai-super-kings-vs-rajasthan-royals-49th-match,Royals won by 10 runs,4345.0,335977,Rajasthan Royals,335974,Chennai Super Kings,2008
52,336034,royal-challengers-bangalore-vs-deccan-chargers-21st-match,RCB won by 3 runs,4340.0,335970,Royal Challengers Bangalore,335980,Deccan Chargers,2008
53,336035,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match,KKR won by 3 wickets (with 2 balls remaining),4341.0,335973,Kings XI Punjab,335971,Kolkata Knight Riders,2008
54,336036,rajasthan-royals-vs-mumbai-indians-53rd-match,Royals won by 5 wickets (with 0 balls remaining),4345.0,335978,Mumbai Indians,335977,Rajasthan Royals,2008
55,336037,deccan-chargers-vs-chennai-super-kings-54th-match,Super Kings won by 7 wickets (with 4 balls remaining),4343.0,335980,Deccan Chargers,335974,Chennai Super Kings,2008
56,336038,delhi-daredevils-vs-rajasthan-royals-1st-semi-final,Royals won by 105 runs,4345.0,335977,Rajasthan Royals,335975,Delhi Daredevils,2008
57,336039,chennai-super-kings-vs-kings-xi-punjab-2nd-semi-final,Super Kings won by 9 wickets (with 31 balls remaining),4343.0,335973,Kings XI Punjab,335974,Chennai Super Kings,2008
58,336040,chennai-super-kings-vs-rajasthan-royals-final,Royals won by 3 wickets (with 0 balls remaining),4345.0,335974,Chennai Super Kings,335977,Rajasthan Royals,2008
59,392181,chennai-super-kings-vs-mumbai-indians-1st-match,Mumbai won by 19 runs,4346.0,335978,Mumbai Indians,335974,Chennai Super Kings,2009
60,392182,royal-challengers-bangalore-vs-rajasthan-royals-2nd-match,RCB won by 75 runs,4340.0,335970,Royal Challengers Bangalore,335977,Rajasthan Royals,2009
61,392183,delhi-daredevils-vs-kings-xi-punjab-3rd-match,Daredevils won by 10 wickets (with 7 balls remaining) (D/L method),4344.0,335973,Kings XI Punjab,335975,Delhi Daredevils,2009
62,392184,deccan-chargers-vs-kolkata-knight-riders-4th-match,Chargers won by 8 wickets (with 41 balls remaining),4347.0,335971,Kolkata Knight Riders,335980,Deccan Chargers,2009
63,392185,royal-challengers-bangalore-vs-chennai-super-kings-5th-match,Super Kings won by 92 runs,4343.0,335974,Chennai Super Kings,335970,Royal Challengers Bangalore,2009
64,392186,kings-xi-punjab-vs-kolkata-knight-riders-6th-match,KKR won by 11 runs (D/L method),4341.0,335973,Kings XI Punjab,335971,Kolkata Knight Riders,2009
65,392187,mumbai-indians-vs-rajasthan-royals-7th-match,Match abandoned without a ball bowled,,335978,Mumbai Indians,335977,Rajasthan Royals,2009
66,392188,royal-challengers-bangalore-vs-deccan-chargers-8th-match,Chargers won by 24 runs,4347.0,335980,Deccan Chargers,335970,Royal Challengers Bangalore,2009
67,392189,chennai-super-kings-vs-delhi-daredevils-9th-match,Daredevils won by 9 runs,4344.0,335975,Delhi Daredevils,335974,Chennai Super Kings,2009
68,392190,kolkata-knight-riders-vs-rajasthan-royals-10th-match,Match tied (Royals won the one-over eliminator),,335977,Rajasthan Royals,335971,Kolkata Knight Riders,2009
69,392191,royal-challengers-bangalore-vs-kings-xi-punjab-11th-match,Kings XI won by 7 wickets (with 6 balls remaining),4342.0,335970,Royal Challengers Bangalore,335973,Kings XI Punjab,2009
70,392192,deccan-chargers-vs-mumbai-indians-12th-match,Chargers won by 12 runs,4347.0,335980,Deccan Chargers,335978,Mumbai Indians,2009
71,392193,chennai-super-kings-vs-kolkata-knight-riders-13th-match,Match abandoned without a ball bowled,,335974,Chennai Super Kings,335971,Kolkata Knight Riders,2009
72,392194,royal-challengers-bangalore-vs-delhi-daredevils-14th-match,Daredevils won by 6 wickets (with 4 balls remaining),4344.0,335970,Royal Challengers Bangalore,335975,Delhi Daredevils,2009
73,392195,kings-xi-punjab-vs-rajasthan-royals-15th-match,Kings XI won by 27 runs,4342.0,335973,Kings XI Punjab,335977,Rajasthan Royals,2009
74,392196,chennai-super-kings-vs-deccan-chargers-16th-match,Chargers won by 6 wickets (with 3 balls remaining),4347.0,335974,Chennai Super Kings,335980,Deccan Chargers,2009
75,392197,kolkata-knight-riders-vs-mumbai-indians-17th-match,Mumbai won by 92 runs,4346.0,335978,Mumbai Indians,335971,Kolkata Knight Riders,2009
76,392198,delhi-daredevils-vs-rajasthan-royals-18th-match,Royals won by 5 wickets (with 9 balls remaining),4345.0,335975,Delhi Daredevils,335977,Rajasthan Royals,2009
77,392199,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match,RCB won by 5 wickets (with 1 ball remaining),4340.0,335971,Kolkata Knight Riders,335970,Royal Challengers Bangalore,2009
78,392200,kings-xi-punjab-vs-mumbai-indians-20th-match,Kings XI won by 3 runs,4342.0,335973,Kings XI Punjab,335978,Mumbai Indians,2009
79,392201,deccan-chargers-vs-delhi-daredevils-21st-match,Daredevils won by 6 wickets (with 8 balls remaining),4344.0,335980,Deccan Chargers,335975,Delhi Daredevils,2009
